ID_Pedido,Data_Venda,Nome_Produto,Categoria,Quantidade,Preco_Unitario,Valor_Total,Nome_Cliente,Estado,Email,Metodo_Pagamento
2ff6cbeb-6d0c-4af1-bd0b-7159253450ed,2022-12-21 00:00:00,Barraca de Camping,Esportes e Lazer,4,1021.9,4087.6,Larissa Almeida,AM,larissa.almeida@example.com,PIX
6e70b03e-0c44-4e2a-97a7-bbed6ae7f966,2022-03-15 00:00:00,Jogo de Panelas Antiaderente,Casa e Cozinha,5,3890.46,20349.85,Carlos Rocha,MA,carlos.rocha@example.com,Cartão de Crédito
ca42a6e2-cee3-49ff-8345-350777c9ff8a,2024-12-05 00:00:00,Barraca de Camping,Esportes e Lazer,2,2075.26,4150.52,Valentina Almeida,AP,,PayPal
77693857-2fc9-4c1a-a420-26da1a99daa5,2024-05-19 00:00:00,Jaqueta de Couro,Roupas,1,1520.69,1520.69,Julia Barbosa,PE,julia.barbosa@teste.br,Boleto Bancário
5f93ac6f-a882-4815-a987-25e30eefa467,2024-04-19 00:00:00,Poemas ao Luar,Livros,2,4103.99,8207.98,Gustavo Ribeiro,SP,gustavo.ribeiro@mail.net,Boleto Bancário
fc0f03bd-c7f7-4480-8bb6-47931c7629b8,2022-01-18 00:00:00,Vestido Floral,Roupas,3,3466.62,10399.86,Ana Oliveira,AP,ana.oliveira@teste.br,Boleto Bancário
9efc6b9b-0df6-406f-b1b3-4e6d7fe561d6,2024-05-14 00:00:00,Aventuras em Marte,Livros,3,2185.75,6557.25,Eduardo Dias,AL,eduardo.dias@mail.net,PIX
08c58679-ad45-42f2-868b-005251ca63a6,2023-10-16 00:00:00,Tênis de Corrida,Esportes e Lazer,4,1358.37,5433.48,Larissa Costa,MT,larissa.costa@email.com,PayPal
1f95474b-714b-4fb4-858f-a85c230e625d,2022-06-28 00:00:00,Poemas ao Luar,Livros,5,1059.05,5295.25,Julia Dias,SE,julia.dias@email.com,PIX
08ed2771-2534-4f81-96a3-64ef4d923963,2023-01-10 00:00:00,Tablet Max,Eletrônicos,3,462.27,1386.81,Julia Gonçalves,,julia.gonçalves@web.org,PayPal
d130d132-73a4-4528-a495-bb259abc51b6,2024-09-21 00:00:00,Aventuras em Marte,Livros,2,1292.63,2585.26,Igor Santos,DF,igor.santos@example.com,PIX
0fd623c3-77ae-4fb5-b5dc-48d5ca3c3a77,2023-11-25 00:00:00,Kit de Ferramentas Essenciais,Casa e Cozinha,4,325.31,1301.24,Carlos Ribeiro,CE,carlos.ribeiro@web.org,PayPal
be4724fc-5028-4ac8-9e8b-ee0156911195,2022-10-24 00:00:00,Jogo de Panelas Antiaderente,Casa e Cozinha,3,3717.2,11151.6,Larissa Costa,SP,larissa.costa@email.com,PIX
dcd2c97f-100a-46b9-bbf5-746834260226,2024-02-11 00:00:00,Bicicleta Mountain Bike,Esportes e Lazer,5,2587.29,12936.45,Daniela Lima,PE,daniela.lima@example.com,PayPal
cef93fe8-f228-4783-99e7-95d126e5daef,2023-09-17 00:00:00,Jogo de Panelas Antiaderente,Casa e Cozinha,1,230.86,230.86,Ana Ferreira,MT,,PayPal
c7ae9078-7aec-4b5a-902a-a7750fd89094,2024-05-31 00:00:00,Bicicleta Mountain Bike,Esportes e Lazer,5,1904.88,9524.4,Julia Carvalho,TO,julia.carvalho@mail.net,PayPal
082510d8-da51-4e77-a102-d2af905bfb29,2023-08-27 00:00:00,Tênis de Corrida,Esportes e Lazer,5,251.03,1306.84,Carlos Martins,PB,carlos.martins@mail.net,PIX
fe1ea32a-fce5-4b19-b33a-ca4e6cd257b7,2024-05-30 00:00:00,Laptop Pro,Eletrônicos,5,3546.04,17730.2,Patrícia Oliveira,RJ,patrícia.oliveira@email.com,Boleto Bancário
36ab59e5-0460-40e0-be3b-3f4ea12f0bf8,2024-10-31 00:00:00,Smartwatch Fit,Eletrônicos,1,3104.14,3104.14,Larissa Pereira,TO,larissa.pereira@example.com,Boleto Bancário
030786ec-eb38-4788-a63e-44ca4c134659,2023-10-25 00:00:00,Barraca de Camping,Esportes e Lazer,2,3238.16,6476.32,Julia Oliveira,GO,julia.oliveira@web.org,PIX
7e57a61f-ba9c-44c8-88b8-a1238ea4676b,2023-05-23 00:00:00,História da Arte,Livros,4,3133.1,12532.4,Ana Santos,AM,ana.santos@teste.br,PIX
c8bd8e0e-fe9a-47f4-a981-68c113795c0a,2024-12-30 00:00:00,Barraca de Camping,Esportes e Lazer,2,3212.18,6424.36,Kaique Castro,AL,kaique.castro@email.com,PayPal
4e35eaef-6347-470f-a016-a07bf10ee5b3,2024-11-29 00:00:00,Moletom com Capuz,Roupas,5,1907.6,9538.0,Valentina Castro,PE,valentina.castro@example.com,Boleto Bancário
aabd07a1-a837-49fa-9821-fec10d925c17,2022-01-09 00:00:00,Vestido Floral,Roupas,2,3814.27,7628.54,Kaique Silva,MS,kaique.silva@teste.br,PayPal
54130be0-5316-4a31-af44-5fa0c57d23bb,2023-03-15 00:00:00,Aventuras em Marte,Livros,4,4477.93,17911.72,Thiago Rocha,SE,thiago.rocha@web.org,Cartão de Crédito
3135f1d3-3e67-48c5-8110-904a8d6b59bd,2024-01-01 00:00:00,Smartphone XYZ,Eletrônicos,4,1474.85,5899.4,Valentina Ferreira,RS,valentina.ferreira@example.com,Cartão de Crédito
b27f99bc-4898-43d5-b7df-18e58ba3eb3c,2022-09-09 00:00:00,Calça Jeans Slim,Roupas,2,1926.83,3853.66,Ana Nunes,RO,ana.nunes@mail.net,PIX
e0401035-1a06-4433-8c24-c2c678e1cde0,2022-01-21 00:00:00,Tênis de Corrida,Esportes e Lazer,3,1540.89,4622.67,Rafael Ribeiro,RN,rafael.ribeiro@mail.net,Transferência Bancária
2b601d2c-6578-4cd6-8adc-f8c3e76bbb60,2023-01-28 00:00:00,Cozinha para Iniciantes,Livros,5,2092.32,10461.6,Ana Mendes,GO,ana.mendes@mail.net,PayPal
f94e6dfb-9f4d-4091-959b-bdb0d539586a,2022-09-24 00:00:00,Jogo de Panelas Antiaderente,Casa e Cozinha,2,4419.29,8838.58,Gustavo Barbosa,AM,gustavo.barbosa@mail.net,Boleto Bancário
542800bd-818f-496a-9bcf-c4d9df127b4b,2024-11-18 00:00:00,Kit de Ferramentas Essenciais,Casa e Cozinha,5,2611.75,13058.75,Sofia Santos,,sofia.santos@web.org,Transferência Bancária
f1384d4a-41c2-4946-86aa-3eb3c5273db1,2022-06-26 00:00:00,Kit de Ferramentas Essenciais,Casa e Cozinha,5,1146.43,5732.15,Otávio Mendes,SP,otávio.mendes@teste.br,Cartão de Crédito
7afe12d0-fd0b-453b-b63d-aed57b67b342,2024-03-24 00:00:00,Kit de Pesca Completo,Esportes e Lazer,2,245.65,491.3,Kaique Pereira,MT,kaique.pereira@teste.br,Cartão de Crédito
302c1c2b-136b-4965-bea3-933e3dc2f6c7,2024-08-08 00:00:00,Bicicleta Mountain Bike,Esportes e Lazer,2,1488.68,2977.36,Kaique Dias,RJ,kaique.dias@teste.br,Transferência Bancária
e0f83806-f65e-4cd2-9801-6aeb37a9f60f,2022-07-14 00:00:00,Jaqueta de Couro,Roupas,3,1257.39,3772.17,Thiago Souza,RS,thiago.souza@mail.net,Boleto Bancário
954365e5-b746-4a7a-866e-f24865166aa2,2024-07-13 00:00:00,História da Arte,Livros,3,466.29,1398.87,Patrícia Gonçalves,GO,patrícia.gonçalves@teste.br,Boleto Bancário
42c1cfd6-ea1d-4b06-aa81-71c765b8b5a7,2024-08-24 00:00:00,Bola de Futebol Oficial,Esportes e Lazer,5,2461.63,12308.15,Bruno Pereira,PE,bruno.pereira@email.com,Cartão de Crédito
cd30754e-d691-4fae-814a-613de17c9195,2022-06-02 00:00:00,Smartphone XYZ,Eletrônicos,5,3115.21,15576.05,Igor Carvalho,DF,igor.carvalho@teste.br,Cartão de Crédito
cc02e51b-6327-482f-bdc7-e6bdbf6719ad,2023-12-26 00:00:00,Tablet Max,Eletrônicos,2,2040.42,4080.84,Sofia Ribeiro,RO,sofia.ribeiro@web.org,Transferência Bancária
79f9accc-3e35-4054-bc31-44dddb3f5717,2024-08-14 00:00:00,Kit de Pesca Completo,Esportes e Lazer,4,1209.38,4837.52,Eduardo Castro,PE,eduardo.castro@web.org,PIX
884f896b-319a-44ef-af26-a311fc1c2745,2023-11-10 00:00:00,Barraca de Camping,Esportes e Lazer,4,4366.89,17467.56,Rafael Mendes,ES,rafael.mendes@teste.br,Transferência Bancária
5fafef19-a0b2-41e8-9a0b-35d72b311272,2022-12-20 00:00:00,Robô Aspirador Inteligente,Casa e Cozinha,3,-4487.68,13463.04,Bruno Castro,MG,bruno.castro@web.org,Boleto Bancário
34d205fd-3c6b-4df9-b7da-e075a28725ec,2023-08-13 00:00:00,Camiseta Básica,Roupas,3,1116.1,3348.3,Otávio Carvalho,RN,otávio.carvalho@example.com,Cartão de Crédito
283e91ce-c183-4cc7-922e-8d8edb1e41f7,2022-11-28 00:00:00,Bola de Futebol Oficial,Esportes e Lazer,5,3786.84,18934.2,Helena Gonçalves,MG,helena.gonçalves@web.org,PayPal
f313ff06-7fa3-4156-a267-a5ab966d0354,2022-01-13 00:00:00,Robô Aspirador Inteligente,Casa e Cozinha,5,4751.6,23758.0,Rafael Dias,RN,rafael.dias@example.com,PayPal
018fdbdb-f3c1-4d5c-93f2-d22461f2254a,2023-02-11 00:00:00,Kit de Ferramentas Essenciais,Casa e Cozinha,4,3166.32,12665.28,Carlos Souza,ES,carlos.souza@teste.br,Transferência Bancária
f354d009-07ea-4e43-914b-0bda51f97c2d,2023-03-09 00:00:00,Smartwatch Fit,Eletrônicos,4,2096.42,8385.68,Patrícia Ferreira,GO,patrícia.ferreira@teste.br,Boleto Bancário
e506e239-c218-4fd1-82cb-bf0bbbda1c99,2023-08-11 00:00:00,Smartwatch Fit,Eletrônicos,3,4878.37,14635.11,Valentina Rodrigues,AM,valentina.rodrigues@teste.br,Cartão de Crédito
e9782bf6-7805-4882-a5b2-1174271143cc,2022-10-18 00:00:00,Camiseta Básica,Roupas,4,1826.08,7304.32,Bruno Carvalho,PI,bruno.carvalho@mail.net,PayPal
b80d56a8-0d69-4e92-a5de-1b3ec2a0dce3,2023-02-24 00:00:00,Fone de Ouvido Sem Fio,Eletrônicos,1,409643.99999999994,4096.44,Julia Ribeiro,PI,julia.ribeiro@web.org,PayPal
f68b10e3-346e-4e44-babe-ad37f50ca530,2022-10-01 00:00:00,O Segredo do Vale,Livros,2,319.12,638.24,Fernanda Castro,RN,fernanda.castro@mail.net,PIX
fbc6ddec-0e00-4350-b07d-63ea07d8f948,2022-06-30 00:00:00,Robô Aspirador Inteligente,Casa e Cozinha,5,442.5,2212.5,Gustavo Mendes,DF,gustavo.mendes@email.com,PIX
ed42d3ec-6293-4b96-98c9-48a86f531a5b,2023-10-15 00:00:00,Jogo de Panelas Antiaderente,Casa e Cozinha,2,2664.68,5329.36,Ana Martins,DF,ana.martins@web.org,Boleto Bancário
260fd4c4-ff15-4bf8-bc3c-e53d318e9032,2022-11-02 00:00:00,Tablet Max,Eletrônicos,4,2654.59,10618.36,Helena Oliveira,MS,helena.oliveira@email.com,Transferência Bancária
67c8e1c5-daa1-432c-b3cb-29d36fd5e1df,2022-05-10 00:00:00,Fone de Ouvido Sem Fio,Eletrônicos,2,466.88,933.76,Julia Pereira,PE,julia.pereira@mail.net,Boleto Bancário
f358fe9c-9cc8-4bd2-9f99-645ec91e7d9a,2022-05-02 00:00:00,Cafeteira Express,Casa e Cozinha,2,1843.01,3686.02,Sofia Gonçalves,PE,sofia.gonçalves@teste.br,Cartão de Crédito
a2b69f55-325d-45c5-a062-b93d14312707,2023-09-22 00:00:00,Barraca de Camping,Esportes e Lazer,4,487.29,1949.16,Marcos Lima,DF,,Cartão de Crédito
17423cc3-d31e-4be9-b08d-e9e1887eff52,2023-10-10 00:00:00,Poemas ao Luar,Livros,1,1449.89,1449.89,Valentina Martins,BA,valentina.martins@web.org,
cd807162-f6d5-4588-ab31-33f4940e8a4d,2024-09-28 00:00:00,Bola de Futebol Oficial,Esportes e Lazer,1,2560.42,2560.42,Carlos Carvalho,SC,carlos.carvalho@email.com,PIX
0729d272-2d9f-4e9a-8421-6c14255cb7b7,2024-04-16 00:00:00,Smartwatch Fit,Eletrônicos,3,1378.13,4134.39,Larissa Oliveira,PA,larissa.oliveira@mail.net,Transferência Bancária
2da10329-863c-4de4-bc04-a6fa1ac1f9b7,2023-07-12 00:00:00,Laptop Pro,Eletrônicos,5,1619.07,8095.35,Rafael Oliveira,DF,rafael.oliveira@mail.net,Transferência Bancária
2d4a90b8-f1da-4278-9551-125a155ee9df,2023-11-07 00:00:00,Camiseta Básica,Roupas,4,2971.12,11884.48,Otávio Rodrigues,BA,otávio.rodrigues@email.com,PIX
d1d1faf8-7865-4665-92d6-14a5cb9b5812,2024-11-06 00:00:00,Camiseta Básica,Roupas,5,2463.92,12319.6,Gustavo Souza,RS,gustavo.souza@example.com,PIX
9dd07ec1-786d-47fc-a734-d9915fd52dcd,2023-09-18 00:00:00,Tênis de Corrida,Esportes e Lazer,2,1942.23,3884.46,Carlos Rodrigues,RS,carlos.rodrigues@web.org,PayPal
47d3bb12-54ee-45d8-8fa3-f3df268235ee,2022-04-04 00:00:00,Aventuras em Marte,Livros,2,4383.08,8766.16,Carlos Castro,RR,carlos.castro@mail.net,PayPal
95a01947-08a4-4f5f-8052-8f7fdfbca1ba,2022-08-22 00:00:00,Calça Jeans Slim,Roupas,3,3406.78,10220.34,Carlos Pereira,RJ,carlos.pereira@web.org,Boleto Bancário
b3031448-3e36-4c16-ae0d-aa36a4929029,2024-09-19 00:00:00,Barraca de Camping,Esportes e Lazer,2,136.25,272.5,Gustavo Mendes,MA,gustavo.mendes@mail.net,PIX
655f9d14-7ee5-45ed-a4e4-d7afa4ec43c8,2023-03-01 00:00:00,Liquidificador Turbo,Casa e Cozinha,3,931.38,2794.14,Fernanda Almeida,RN,fernanda.almeida@teste.br,Transferência Bancária
43a1058e-b1da-442e-883d-4940443d181b,2024-09-13 00:00:00,Bicicleta Mountain Bike,Esportes e Lazer,5,2613.24,13066.2,Valentina Pereira,AM,valentina.pereira@example.com,PIX
b6269b43-3087-4944-a6f2-5453eca2ed59,2024-05-20 00:00:00,Jogo de Panelas Antiaderente,Casa e Cozinha,4,2710.03,10840.12,Igor Ribeiro,SC,igor.ribeiro@teste.br,Boleto Bancário
5802d736-bd97-4fa7-8344-1b6ae8955d2a,2024-04-04 00:00:00,Bola de Futebol Oficial,Esportes e Lazer,4,3136.66,12546.64,Daniela Ferreira,PE,daniela.ferreira@mail.net,Cartão de Crédito
6c847af4-0d1f-4465-b252-aed49ed8a7f8,2024-09-01 00:00:00,Moletom com Capuz,Roupas,2,2149.63,4299.26,Carlos Carvalho,GO,carlos.carvalho@web.org,Transferência Bancária
d31865c8-5aeb-4d4c-b4ad-d1e985c07edc,2024-12-10 00:00:00,Bola de Futebol Oficial,Esportes e Lazer,5,4278.37,21391.85,Gustavo Mendes,RO,gustavo.mendes@teste.br,Transferência Bancária
ba279f7a-b525-483d-b168-9a58929fd87e,2022-11-29 00:00:00,Tênis de Corrida,Esportes e Lazer,1,47.39,47.39,Carlos Costa,TO,carlos.costa@web.org,PIX
ef3d6737-3988-449b-8e50-d5acf9de43ca,2022-06-23 00:00:00,Poemas ao Luar,Livros,5,92.88,464.4,Carlos Martins,,carlos.martins@teste.br,PayPal
63de7c58-f9c4-43aa-bd08-bd8bbd057a06,2024-09-12 00:00:00,Fone de Ouvido Sem Fio,Eletrônicos,4,4702.25,18809.0,Julia Ferreira,PE,julia.ferreira@mail.net,Boleto Bancário
b13ea076-f4cf-4b19-98c3-d8a539217399,2024-09-09 00:00:00,Robô Aspirador Inteligente,Casa e Cozinha,1,2263.07,2263.07,Sofia Costa,SC,sofia.costa@web.org,PayPal
d7c03862-b37e-4100-b363-731c1408f312,2023-08-23 00:00:00,Cozinha para Iniciantes,Livros,5,1003.09,5015.45,Eduardo Castro,AC,eduardo.castro@mail.net,Boleto Bancário
484c4f52-c4f1-459f-b437-0a139f768ad6,2024-12-03 00:00:00,História da Arte,Livros,5,3242.32,16211.6,Daniela Costa,MA,daniela.costa@mail.net,Transferência Bancária
d6ef6bc4-eeeb-4ff9-ac3f-373ab76bbf8c,2023-03-28 00:00:00,Fone de Ouvido Sem Fio,Eletrônicos,1,210.96,210.96,Kaique Rocha,MA,kaique.rocha@web.org,Boleto Bancário
afafe024-b895-4234-97e7-41472d2ba898,2024-02-14 00:00:00,Tablet Max,Eletrônicos,1,4912.29,4912.29,Ana Barbosa,PI,ana.barbosa@teste.br,Boleto Bancário
5e4c54b6-0897-4b59-915a-7a5dff1ed327,2023-05-14 00:00:00,Laptop Pro,Eletrônicos,4,2992.57,11970.28,Eduardo Souza,MA,eduardo.souza@mail.net,PayPal
e8533f25-17f8-4081-adac-e2e808fee2da,2022-07-05 00:00:00,Cozinha para Iniciantes,Livros,2,4357.34,8714.68,Valentina Castro,PA,valentina.castro@email.com,Transferência Bancária
eb04b7d6-d35a-45a4-b6f7-253b081d15ce,2024-01-26 00:00:00,Aventuras em Marte,Livros,1,3627.83,3627.83,Sofia Rodrigues,PA,sofia.rodrigues@mail.net,PayPal
23294858-9739-4243-b86a-39d3c5cbffa8,2023-06-10 00:00:00,Kit de Ferramentas Essenciais,Casa e Cozinha,2,3787.93,7575.86,Larissa Dias,MA,larissa.dias@email.com,Boleto Bancário
ae49bc51-a905-49cc-955e-9234d8560b83,2022-11-26 00:00:00,Bola de Futebol Oficial,Esportes e Lazer,2,772.15,1544.3,Thiago Santos,RO,thiago.santos@teste.br,Cartão de Crédito
bc7d52ee-b6ca-42a3-be31-04ad2b03843f,2024-08-23 00:00:00,Tênis de Corrida,Esportes e Lazer,1,3416.85,3416.85,Larissa Costa,RN,larissa.costa@example.com,Transferência Bancária
5396f544-f58f-49b0-b79b-2252a2d2ad09,2024-03-22 00:00:00,Jaqueta de Couro,Roupas,3,264.41,793.23,Julia Oliveira,PR,julia.oliveira@web.org,Cartão de Crédito
8d6e1524-1dab-48f5-9ad7-02263ffb7a38,2024-04-05 00:00:00,Kit de Pesca Completo,Esportes e Lazer,3,3412.58,10237.74,Helena Souza,SE,helena.souza@web.org,Cartão de Crédito
f0a67b2c-f4b6-4ab5-93e9-de85464bfaa2,2024-06-11 00:00:00,Kit de Pesca Completo,Esportes e Lazer,3,338.79,1016.37,Valentina Santos,RO,valentina.santos@mail.net,PIX
d1309e9a-8241-4b33-b5b9-ec77ed73483c,2022-01-09 00:00:00,Liquidificador Turbo,Casa e Cozinha,2,4355.55,8711.1,Daniela Santos,,daniela.santos@web.org,Cartão de Crédito
26fb4f96-56ce-4f10-a994-173cf19361e9,2024-07-02 00:00:00,Bicicleta Mountain Bike,Esportes e Lazer,1,1083.75,1083.75,Igor Mendes,PE,igor.mendes@web.org,PIX
392117b1-643c-49a2-a112-94021aacba62,2023-12-25 00:00:00,Camiseta Básica,Roupas,5,42.76,213.8,Helena Souza,MT,helena.souza@mail.net,Transferência Bancária
030af8f4-8943-493d-a762-d62cc122d68d,2022-01-31 00:00:00,Vestido Floral,Roupas,1,4145.04,4145.04,Gustavo Dias,PB,gustavo.dias@mail.net,PayPal
cdd2875f-0195-4ce0-9fdb-ab993ee3b269,2024-01-23 00:00:00,Tênis de Corrida,Esportes e Lazer,5,2395.93,11979.65,Rafael Nunes,SP,rafael.nunes@mail.net,Transferência Bancária
1bbf0b0e-0d25-4d78-ab70-00b0518b20c5,2023-09-12 00:00:00,Camiseta Básica,Roupas,5,4032.25,20161.25,Thiago Ferreira,PI,thiago.ferreira@teste.br,Transferência Bancária
90533f26-d99a-41b4-bce6-72363c7c44e6,2024-11-12 00:00:00,Smartphone XYZ,Eletrônicos,3,1169.24,3507.72,Thiago Gonçalves,MS,thiago.gonçalves@mail.net,PayPal
142a7e0d-eef5-4ba9-a0c9-65a770c44e43,2022-06-16 00:00:00,Vestido Floral,Roupas,5,748.48,3742.4,Carlos Ferreira,AM,carlos.ferreira@example.com,Transferência Bancária
fba70eb6-da2f-4bf5-8ea0-4b799629e219,2023-08-29 00:00:00,Liquidificador Turbo,Casa e Cozinha,2,1058.97,2117.94,Larissa Rodrigues,RO,larissa.rodrigues@example.com,
b949d0b0-f9b6-4f4f-b8a2-0437286f1585,2022-07-02 00:00:00,Cafeteira Express,Casa e Cozinha,4,2907.11,11628.44,Rafael Barbosa,MG,rafael.barbosa@example.com,Cartão de Crédito
5a70acfd-7208-49e8-a72e-67c2c8eb5fe5,2022-06-03 00:00:00,Moletom com Capuz,Roupas,3,825.17,2475.51,Daniela Ribeiro,RO,daniela.ribeiro@example.com,Transferência Bancária
376bdaff-48c4-4163-b117-713230bfcf48,2023-10-27 00:00:00,Cozinha para Iniciantes,Livros,4,3755.86,15023.44,Otávio Rocha,BA,otávio.rocha@email.com,PIX
72cdda96-5dbe-4232-a781-c2d179795dac,2024-03-12 00:00:00,Tênis de Corrida,Esportes e Lazer,5,2379.28,11896.4,Julia Santos,MG,julia.santos@web.org,PIX
6e585070-18c1-4e9b-90ee-042b781e8d4a,2024-08-27 00:00:00,Cozinha para Iniciantes,Livros,1,4637.15,4637.15,Carlos Ferreira,AM,carlos.ferreira@teste.br,Cartão de Crédito
fa7e32ca-5c55-4df9-8a84-de133ea8726c,2023-01-28 00:00:00,Cafeteira Express,Casa e Cozinha,3,1452.53,4357.59,Gustavo Souza,RS,,Cartão de Crédito
fb667e69-e5d0-4d9e-bf03-326cd498e9d9,2024-03-03 00:00:00,Laptop Pro,Eletrônicos,1,2792.96,2792.96,Patrícia Santos,RO,patrícia.santos@example.com,Transferência Bancária
c9e8a4e3-7c3a-45e9-9b5e-422c419a6635,2024-06-16 00:00:00,História da Arte,Livros,4,3463.77,13855.08,Rafael Santos,DF,rafael.santos@mail.net,PIX
2d050ca1-d93c-4521-a6e6-c55ed56f64c6,2023-02-15 00:00:00,Calça Jeans Slim,Roupas,3,659.88,1979.64,Thiago Rocha,RS,thiago.rocha@web.org,Boleto Bancário
a3e17e1a-859d-4816-bfdf-db24cdc0eefa,2022-12-30 00:00:00,Barraca de Camping,Esportes e Lazer,3,2102.09,6306.27,Valentina Martins,MT,valentina.martins@example.com,Transferência Bancária
ea9f2608-81dd-403c-990d-843f82d82af9,2023-02-21 00:00:00,Bola de Futebol Oficial,Esportes e Lazer,1,330044.0,3300.44,Thiago Rocha,CE,thiago.rocha@email.com,PIX
9d34cd5d-02ad-4d08-896c-a21ed1074b41,2023-05-21 00:00:00,Bicicleta Mountain Bike,Esportes e Lazer,1,4161.1,4161.1,Kaique Martins,,kaique.martins@teste.br,Boleto Bancário
a6fc6629-b427-4507-9098-e1d27e41bcbd,2023-12-20 00:00:00,Jogo de Panelas Antiaderente,Casa e Cozinha,2,3179.4,6358.8,Carlos Martins,AM,carlos.martins@email.com,Boleto Bancário
0dd353d4-88e6-4112-924c-59af8c65f273,2023-01-16 00:00:00,Smartphone XYZ,Eletrônicos,4,4882.23,19528.92,Julia Dias,RR,julia.dias@mail.net,PayPal
6fcfbbea-928e-4a28-a2f5-6772d73f76c5,2022-03-17 00:00:00,Aventuras em Marte,Livros,1,2754.01,2754.01,Igor Almeida,TO,igor.almeida@teste.br,PIX
82fd5619-6704-476b-9f3c-f8c73672cdb4,2024-05-15 00:00:00,Liquidificador Turbo,Casa e Cozinha,1,1683.84,1683.84,Patrícia Dias,RN,patrícia.dias@teste.br,Cartão de Crédito
1fb8f28f-f0a7-4aa7-8570-a4635cf272db,2023-08-23 00:00:00,Barraca de Camping,Esportes e Lazer,2,4136.47,8272.94,Valentina Lima,MS,valentina.lima@example.com,PayPal
d0761484-db75-4f24-b4a3-b7bfb955b264,2022-10-23 00:00:00,Robô Aspirador Inteligente,Casa e Cozinha,3,4410.91,13232.73,Eduardo Silva,TO,eduardo.silva@teste.br,PayPal
97cb0f40-f866-4237-a2df-7c24b0dbadff,2024-04-09 00:00:00,Smartwatch Fit,Eletrônicos,2,270.85,541.7,Rafael Oliveira,RN,,Cartão de Crédito
e89e2f2b-42d3-4072-a1ba-0b67fc01e842,2024-11-27 00:00:00,O Segredo do Vale,Livros,1,862.27,862.27,Otávio Nunes,AM,otávio.nunes@teste.br,PayPal
bfba93dd-1632-4ad0-98e0-45c927b6ac99,2024-12-04 00:00:00,Kit de Pesca Completo,Esportes e Lazer,5,1194.5,5972.5,Kaique Almeida,PE,kaique.almeida@mail.net,PIX
b50c03de-387e-4808-b427-268460095d2e,2024-01-13 00:00:00,Bola de Futebol Oficial,Esportes e Lazer,4,818.37,3273.48,Natália Ferreira,MA,natália.ferreira@mail.net,Transferência Bancária
324fca5b-f40f-4113-aea1-426d21268dc5,2022-06-02 00:00:00,História da Arte,Livros,5,3897.44,19487.2,Gustavo Ferreira,PA,gustavo.ferreira@teste.br,PayPal
e4ef79de-bf1c-41cd-85a1-930b5a2a62c0,2023-09-05 00:00:00,Tênis de Corrida,Esportes e Lazer,3,4416.38,13249.14,Rafael Barbosa,MT,rafael.barbosa@email.com,Cartão de Crédito
